;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_AAC_title;Grant Aachen Independence;;;;;;;;;;;;x,,
gtfo_AAC_desc;We've had a good run, but it's time to end our rulership of Aachen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABB_title;Grant Dongola Independence;;;;;;;;;;;;x,,
gtfo_ABB_desc;We've had a good run, but it's time to end our rulership of Dongola: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABE_title;Grant Abenaki Independence;;;;;;;;;;;;x,,
gtfo_ABE_desc;We've had a good run, but it's time to end our rulership of Abenaki: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABI_title;Grant Abihka Independence;;;;;;;;;;;;x,,
gtfo_ABI_desc;We've had a good run, but it's time to end our rulership of Abihka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABK_title;Grant Abkhazia Independence;;;;;;;;;;;;x,,
gtfo_ABK_desc;We've had a good run, but it's time to end our rulership of Abkhazia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABO_title;Grant Aborigines Independence;;;;;;;;;;;;x,,
gtfo_ABO_desc;We've had a good run, but it's time to end our rulership of Aborigines: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABU_title;Grant Abu Dhabi Independence;;;;;;;;;;;;x,,
gtfo_ABU_desc;We've had a good run, but it's time to end our rulership of Abu Dhabi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ACA_title;Grant Acadia Independence;;;;;;;;;;;;x,,
gtfo_ACA_desc;We've had a good run, but it's time to end our rulership of Acadia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ACH_title;Grant Achaea Independence;;;;;;;;;;;;x,,
