PROV1;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;x
PROV13;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV100;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;x
PROV102;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;x
PROV103;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;Oghá P'o'oge;x
PROV141;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;x
PROV162;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;x
PROV176;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;x
PROV190;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;x
PROV199;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;x
