;;;;;;;;;;;;x,,,,,,,,,,,,,
return_core_on_title;Enable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_on_desc;The Return Cores decisions allow you to return cores of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
return_core_off_title;Disable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;x,,
return_core_disabled_title;Deactivate 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_disabled_desc;The 'Return Cores' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
return_cores_AAC_title;Return cores to Aachen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AAC_desc;We hold provinces that Aachen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABB_title;Return cores to Dongola;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABB_desc;We hold provinces that Dongola has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABE_title;Return cores to Abenaki;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABE_desc;We hold provinces that Abenaki has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABI_title;Return cores to Abihka;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABI_desc;We hold provinces that Abihka has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABK_title;Return cores to Abkhazia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABK_desc;We hold provinces that Abkhazia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABO_title;Return cores to Aborigines;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABO_desc;We hold provinces that Aborigines has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ABU_title;Return cores to Abu Dhabi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABU_desc;We hold provinces that Abu Dhabi has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ACA_title;Return cores to Acadia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ACA_desc;We hold provinces that Acadia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ACH_title;Return cores to Achaea;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ACH_desc;We hold provinces that Achaea has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADA_title;Return cores to Adal;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADA_desc;We hold provinces that Adal has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADE_title;Return cores to Aden;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADE_desc;We hold provinces that Aden has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADO_title;Return cores to Andorra;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADO_desc;We hold provinces that Andorra has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ADU_title;Return cores to Andalucia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ADU_desc;We hold provinces that Andalucia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AES_title;Return cores to Anglo-Saxony;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AES_desc;We hold provinces that Anglo-Saxony has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AFG_title;Return cores to Afghanistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AFG_desc;We hold provinces that Afghanistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AGC_title;Return cores to Angoche;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AGC_desc;We hold provinces that Angoche has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AGU_title;Return cores to Anguilla;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AGU_desc;We hold provinces that Anguilla has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AIN_title;Return cores to Ainu;;;;;;;;;;;;;;;;;;;;x,,
